,case_id,tracer_id,target,source,cell_count,flne,gmeannz,mean,std
0,CJ108,FE,A8aV,A24a,0,0.0,0.000166013041821,8.95592611076e-05,0.00016224716091
1,CJ108,FE,A8aV,A24b,0,0.0,0.000547965359952,0.000221906609256,0.000309967253598
2,CJ108,FE,A8aV,A24c,0,0.0,0.000166013041821,8.95592611076e-05,0.00016224716091
3,CJ108,FE,A8aV,A24d,0,0.0,,0.0,0.0
4,CJ108,FE,A8aV,AuA1,1,0.000359195402299,0.000112246389668,9.72615163402e-05,0.000150004541902
5,CJ108,FE,A8aV,AuAL,0,0.0,,0.0,0.0
6,CJ108,FE,A8aV,AuCL,0,0.0,0.000266065032801,0.000254868157938,0.000340531353863
7,CJ108,FE,A8aV,AuCM,0,0.0,0.000200577552151,9.66518058749e-05,0.000163071090881
8,CJ108,FE,A8aV,AuCPB,1,0.000359195402299,0.000317392279465,0.000438700291868,0.000566533934839
9,CJ108,FE,A8aV,AuML,0,0.0,,0.0,0.0
10,CJ108,FE,A8aV,AuR,0,0.0,,0.0,0.0
11,CJ108,FE,A8aV,AuRM,0,0.0,,0.0,0.0
12,CJ108,FE,A8aV,AuRPB,0,0.0,0.000468164794007,9.36329588015e-05,0.000209369660815
13,CJ108,FE,A8aV,AuRT,0,0.0,,0.0,0.0
14,CJ108,FE,A8aV,AuRTL,0,0.0,,0.0,0.0
15,CJ108,FE,A8aV,AuRTM,0,0.0,,0.0,0.0
16,CJ108,FE,A8aV,STR,0,0.0,,0.0,0.0
17,CJ108,FE,A8aV,TPt,6,0.00215517241379,0.000864960104615,0.000682437225589,0.00090770544575
18,CJ108,FE,A8aV,A10,4,0.0014367816092,0.00151714458098,0.00313902661663,0.00367851029643
19,CJ108,FE,A8aV,A46D,0,0.0,0.00116241006563,0.000906833454441,0.00185368173917
20,CJ108,FE,A8aV,A46V,117,0.042025862069,0.0154518424062,0.0262380075831,0.0182305867875
21,CJ108,FE,A8aV,A8aD,62,0.0222701149425,0.0158806775363,0.0380936519118,0.0491843247071
22,CJ108,FE,A8aV,A8b,25,0.00897988505747,0.00335072517469,0.00493757302909,0.00368753546459
23,CJ108,FE,A8aV,A9,0,0.0,0.000223705921434,0.000197955388474,0.000413412033554
24,CJ108,FE,A8aV,AI,0,0.0,,0.0,0.0
25,CJ108,FE,A8aV,DI,1,0.000359195402299,0.000359195402299,7.18390804598e-05,0.000160637067349
26,CJ108,FE,A8aV,GI,0,0.0,,0.0,0.0
27,CJ108,FE,A8aV,IPro,1,0.000359195402299,0.000359195402299,7.18390804598e-05,0.000160637067349
28,CJ108,FE,A8aV,PaIL,0,0.0,,0.0,0.0
29,CJ108,FE,A8aV,PaIM,0,0.0,,0.0,0.0
